#     x        y        z     r_vir   v_x      v_y      v_z 
#-----------------------------------------------------------
#    kpc      kpc      kpc     kpc    km/s     km/s     km/s
#-----------------------------------------------------------
  -1431.25  -457.56  -241.83   13.  -523.2   -150.0   -89.30
  -1391.92  -261.20   166.58   13.  -509.1   -104.7    72.60
  -1378.18  -432.44   227.63   17.  -521.9   -140.6    77.30
  -1327.13  -281.97   105.18   16.  -508.5    -58.8    66.80
  -1302.57   317.94   687.88   14.  -498.9     83.8   271.70
  -1289.60  -259.25   107.54   14.  -533.5   -120.5    29.30
  -1285.59   505.09   312.82   16.  -493.0    206.2   110.00
  -1286.83   657.64   244.19   16.  -476.8    254.2   104.80
  -1259.34  -299.07   694.22   21.  -406.1    -90.2   303.30
  -1239.05  -340.39   710.65   21.  -456.4    -45.5   324.40
  -1249.98   760.34   110.97   15.  -419.2    302.5    23.70
  -1238.18  -240.97   738.39   16.  -426.1    -66.4   284.50
  -1225.16  -213.29   732.22   22.  -399.9   -132.5   258.60
  -1231.90  -111.15   758.97   14.  -399.8    -92.7   295.40
  -1221.69  -321.53   741.52   21.  -507.0    -63.4   283.70
  -1167.80  -242.75   794.29   23.  -468.7    -71.6   261.30
  -1164.63  -112.29   799.37   29.  -459.6    -94.9   323.70
  -1148.72  -174.23  -704.49   17.  -403.5    -58.2  -235.40
  -1139.74    58.38  -136.46   12.  -391.3     18.9   -55.70
  -1141.00   539.99  -233.26   15.  -399.4    253.1  -101.80
  -1118.64   120.44   741.11   15.  -467.6      5.7   306.50
  -1075.81  -137.51   913.05   29.  -466.2    -74.2   344.10
  -1085.24   656.55  -266.56   19.  -345.9    261.6   -48.90
  -1058.88  -205.48   937.37   17.  -444.0    -12.8   317.00
  -1035.88  -942.79  -396.23   21.  -354.1   -325.2  -163.10
  -1041.80  -182.92   966.60   14.  -499.6    -57.3   305.60
  -1004.99   833.40  -223.03   14.  -297.6    335.0   -63.80
  -1003.43  -908.14  -423.97   15.  -377.1   -312.2  -172.10
  -1000.41   615.42   -91.89   16.  -360.9    269.2   -61.70
   -985.21  -699.10  -494.05   21.  -323.9   -276.7  -186.10
   -983.56   826.46    65.13   20.  -317.8    345.6   -43.10
   -956.39  -862.62  -458.13   21.  -358.6   -327.5  -173.10
   -941.57   669.19  -205.17   30.  -348.3    292.2   -98.80
   -922.41  -502.35  -857.98   22.  -290.9   -189.6  -315.40
   -929.91   864.85    46.43   23.  -354.3    319.4   -34.40
   -925.76   893.97  -205.87   21.  -219.6    352.6   -24.30
   -908.33   893.66  -219.70   19.  -255.1    326.1   -98.60
   -901.29   886.98   -71.65   11.  -313.2    355.0   -66.90
   -882.52  -526.17  -887.70   18.  -309.1   -195.8  -284.20
   -879.32   -12.83  1167.74   10.  -371.7     -5.3   436.40
   -881.38   910.79  -209.12   15.  -222.9    294.8    14.60
   -867.40  -234.84  -578.26   16.  -293.3    -87.1  -202.30
   -858.89   410.20  -605.26   17.  -288.0    106.3  -237.90
   -846.94   342.79  -662.60   24.  -259.0    124.1  -265.00
   -833.19   944.37  -151.93   22.  -313.6    383.4  -165.80
   -840.08   969.76  -204.15   27.  -205.0    443.7  -104.80
   -816.67   341.80  -684.50   12.  -288.8    104.9  -197.90
   -803.28   900.99  -764.33   17.  -279.9    306.5  -252.60
   -796.85  -830.24  -449.55   12.  -297.0   -268.0  -209.60
   -791.05   952.58   -13.28   13.  -336.9    289.3   -20.60
   -802.67   973.37  -101.06   12.  -342.9    296.8  -105.90
   -800.18   987.44  -224.94   48.  -336.2    317.1   -65.60
   -788.24  -151.50  -149.85   17.  -254.3    -34.3  -102.10
   -783.73   957.99    37.33   27.  -318.4    340.0   -37.00
   -760.16   -77.34  -363.31   13.  -258.0    -52.1  -156.10
   -757.24   295.85  -736.88   16.  -260.2    137.8  -275.70
   -749.53   140.06  1216.73   12.  -301.4     62.7   476.40
   -751.97   152.39  1244.27   11.  -305.8     12.4   468.70
   -730.46   531.08  -887.47   24.  -208.0    139.8  -327.00
   -720.86   516.51  -904.83   19.  -250.3    191.4  -300.00
   -715.15   925.56   134.99   21.  -280.4    364.6   -22.20
   -717.99  1009.47  -357.06   13.  -338.0    375.4   -49.40
   -698.15  -545.60  -824.36   10.  -237.9   -201.3  -295.00
   -694.42  -261.15  -408.63   19.  -223.3   -119.7  -145.20
   -692.51  -336.87  -398.04   18.  -193.1   -101.2  -125.00
   -676.74   382.80 -1085.79   17.  -176.9     93.7  -393.50
   -669.67   464.01  -929.31   18.  -234.0    166.9  -337.30
   -668.42   654.21   148.28   15.  -267.3    288.2   -10.80
   -665.01   901.70   104.11   14.  -326.7    364.1    21.20
   -656.67  -373.84  -357.21   31.  -233.1   -118.2  -167.80
   -655.38   348.31 -1121.72   18.  -188.1    141.9  -376.50
   -641.18  -687.40  1056.87   22.  -230.8   -258.3   406.30
   -654.33   -56.63  -130.88   11.  -237.6    -38.5  -133.20
   -650.75   294.22 -1168.56   12.  -169.6    135.3  -353.20
   -643.98   933.99   204.18   15.  -294.8    348.7   -16.20
   -610.38  -112.21  -207.51   20.  -215.3    -32.9  -141.70
   -598.37  -619.92  -810.07   14.  -198.9   -168.1  -267.20
   -582.07   518.93  -354.41   15.  -244.1    186.7  -138.20
   -564.37 -1038.43   499.45   13.  -202.8   -398.5   224.10
   -553.00   131.27 -1100.18   13.  -120.6     80.9  -387.40
   -537.43 -1080.40  -546.50   14.  -202.3   -370.7  -191.80
   -527.49  -646.16  1047.20   19.  -224.9   -263.6   425.00
   -519.03  -590.66  -808.41   25.  -195.8   -157.8  -278.20
   -527.53   902.16   224.50   10.  -230.5    361.3    45.80
   -500.51   272.03 -1183.17   16.  -167.5     82.1  -349.70
   -493.48  -392.57  -804.78   24.  -149.2   -169.1  -306.10
   -490.50  -129.46  -285.31   25.  -177.4    -14.1  -136.50
   -490.36   -84.32 -1254.72   24.  -149.6    -14.5  -409.30
   -490.95   406.11  -956.39   15.  -147.9    118.0  -363.80
   -474.22   903.61   248.38   16.  -228.6    360.4    59.60
   -469.74   -99.44  -272.23   12.  -198.4   -108.2  -114.40
   -430.27  -422.85  -651.95   14.  -149.3   -148.4  -251.70
   -427.16   -63.39  -254.97   17.  -184.3    -13.5  -159.20
   -416.75  -876.36   910.28   16.  -148.6   -328.9   377.50
   -420.85  -233.67  -921.30   21.   -93.6    -58.7  -328.70
   -419.24   383.53  -980.14   12.   -85.1     91.2  -387.80
   -405.57    40.91 -1089.74   13.   -87.1     36.2  -383.40
   -412.21   870.79    87.44   15.  -212.7    331.2    16.50
